item_code,name,description,unit,quantity,location,min_level,reorder_qty,category,active
ControllerCard WEX,ControlCard,UTM Electronics Controller- WithExtensometer,Nos,0,,0,0,ELECTRICAL,1
ControllerCard WOEX,ControlCard,UTM Electronics Controller- Without Extensometer,Nos,2,,0,0,ELECTRICAL,1
ControllerBox Empty,CONTROLLER BOX,EMPTY,Nos,3,,0,0,HARDWARE,1
Cutting Wheel 14'',Cutting Wheel,14'',Nos,3,,0,0,HARDWARE,1
CZ Bolt M4x10,CZ Bolt,M4x10,Nos,174,,0,0,HARDWARE,1
CZ Button Bolt M6x10,CZ Button Bolt,M6x10,Nos,100,,0,0,HARDWARE,1
IS15477 DEFROM FRAME,Deformation Base Frame,Deformation Base Frame,Nos,9,,0,0,METAL,1
DIE D624 C,DIE - ASTM D624,Tear,Nos,2,,0,0,METAL,1
HYD-DUMBBEL PRESS,DIE - HYDRAULIC DUMBLE PRESS,Manual Press,Nos,1,,0,0,Others,1
DIE D412 C,DIE ASTM D412 type C,Dumbbell,Nos,3,,0,0,METAL,1
Dolly Pin M10,Dolly Pin,Pin for Dolly M10,Nos,339,,0,0,METAL,1
IS15477 DOLLY,Dolly Square,SQUARE,Nos,335,,0,0,TRANSMISSION,1
ENCODER 1000PPR,ENCODER 1000PPR,E5058-1000-3-T-1,Nos,14,,0,0,ELECTRICAL,1
ENCODER 5000PPR,ENCODER 5000PPR,E5058-5000-3-T-1,Nos,0,,0,0,ELECTRICAL,1
VST HMI,F110 Flexem,Capacitive touch Screen,Nos,0,,0,0,ELECTRICAL,1
Flap Disc 60 Grid 4'',Flap Disc,60 Grid 4'',Nos,10,,0,0,HARDWARE,1
UTM-50KN GEARBOX COUPLING,Gear Box Coupling 50kN,Gear Box Coupling 50kn,Nos,6,,0,0,METAL,1
UTM 100KN GEAR FLANGE M 40 CHUCK NUT,GEAR BOX FLANGE M40 X 2P,Gear Box Flange,Nos,3,,0,0,METAL,1
GEAR BOX FLANGE-100KN,GEAR BOX INPUT FLANGE,GEAR BOX INPUT FLANGE,Nos,1,,0,0,Others,1
W110 U40 P90 B5B3,GEAR BOX W110 U40 P90 B5B3,W110 U40 P90 B5B3,Nos,5,,0,0,TRANSMISSION,1
W86 U40 HSB3,GEAR BOX W86 U40 HSB3,W86 U40 HSB3,Nos,5,,0,0,TRANSMISSION,1
UTM-50KN -GEARBOX FLANGE,"GEARBOX 
FLANGE W86",Motor Flange,Nos,1,,0,0,METAL,1
SERVO DRIVE EXTN C UTM 100KN,Gearbox Coupling,100KN,Nos,1,,0,0,TRANSMISSION,1
UTM-STB 5KN GEAR BOX COUPLING,Gearbox Coupling,SERVO DRIVE EXTENSTION COUPLING,Nos,0,,0,0,TRANSMISSION,1
GEAR BOX O C PULLY -100KN,"GEARBOX OUTPUT 
COUPLING - PULLY",GEAR OUT COUPLING PULLY,Nos,3,,0,0,METAL,1
Gearbox VF FA1 50 HSB3,Gearbox VF44,VF FA1 50 HSB3,Nos,1,,0,0,TRANSMISSION,1
Gearbox VF44 F1 100 HSB3,Gearbox VF44,VF44 F1 100 HSB3,Nos,1,,0,0,TRANSMISSION,1
